id_komentar,nama_akun,tanggal,text_cleaning,sentimen
UgxvF6JPNWM3XKF2cod4AaABAg,L∆nd~Cru!s!ng,2023-03-18 19:39:52+00:00,blong rem   tanya siap betul siap market sistem,0
UgyWh6o1hmq0fQPLpVN4AaABAg,Budiman Tedja Saputra,2023-07-06 03:14:39+00:00,banyak bahas efisiensi kurang polusi udara ceo toyota produksi cemar udara toyota usai buat bagaimana capai jabat level ceo usaha,0
Ugzemgiceni5YPuka754AaABAg,one destiny,2023-06-07 01:28:49+00:00,sepi kasih hrga jangkau target konsumen jamin mulai transisi harga murah jangkau,0
UgzraZgUA4YcmbeoUYh4AaABAg,Otib Otib,2023-06-06 14:23:23+00:00,bagi kalang percaya tangguh diesel banding,2
Ugxp0GPjg4RfdNAXCSl4AaABAg,Rian Dino,2023-06-06 23:09:27+00:00,tri sama perintah ajah   pake kendara ngapain rakyat suruh pake pikir bikin bijak jangan blunder benar buat bijak tolak,0
Ugz0AF4R3oI6JaU1TTd4AaABAg,masboyoioi,2023-06-06 13:44:57+00:00,orang tani pajero fortuner masak kurang meciing,0
UgytWXp8_IvsA9TR6Ox4AaABAg,9A_05_Arga Bagus Surya Atmaja,2023-06-08 11:16:05+00:00,tak laku kok tempat wara wiri terus motor sama,0
UgzT_lQWNkwssp1tHip4AaABAg,Zulpikar Pikar,2023-03-19 23:35:55+00:00, ingat  kompor,0
UgzCgTW5kPMxv4BEip94AaABAg,Feri Frij,2023-06-07 01:40:54+00:00,kendara jarak tempuh   mumpuni   jalan indonesia   dominan bukit jawbannya ragu   blia banding dg mampu kendara bensin jarak tempuh kendara msh pendek   jd masalah utama baterai harga baterai kendara     harga kendara   baterai ny impor   luar knp baterai impor   luar punya pabrik baterai wong baterai   jam dinding   msh impor luar jd solusi negara produksi dlu pabrik baterai mungkin br   tarik perhati beli indonesia,0
Ugw8pvEIi2Hb3hX6jap4AaABAg,Lord Luhut,2023-06-07 05:40:47+00:00,wong rakyat cari kerja susah jual susah kok   laku benerin duru uang rakyat apa apa laku contoh china,0
UgyQOjSM8rbK_QowhYx4AaABAg,Lara Tua,2023-06-18 00:44:07+00:00,masalah utama indonesia kurang infrastruktur daya kalaupun jadi alih ev malah kewalahan daya pln tingkat daya pln guna bara sama tingkat emisi,0
UgxqC3XkwtAMQlH3SBR4AaABAg,Azkha Rafa,2023-06-13 16:58:00+00:00,minyak bumi mau abis nih,2
Ugx3Jjg1D8uzqP1MvLd4AaABAg,Adi Freeuse,2023-06-26 01:59:29+00:00,masalah   atas aftersales indo   sekarang   masalah ngawur buat kendara rusak charger   butuh daya wat   besar jalan banjir macet jam monopoli   kaya beri modal belakang,0
Ugw-JC-4aAnikMXrgRF4AaABAg,Bagus Pandu Arsetyo,2023-06-06 15:29:02+00:00,minus pakai jarak jauh maksimal pakai rute kota isi penuh jam isi spbbl kurang banyak,0
Ugy62P989BlJpL6ZFJJ4AaABAg,alfatich ali,2023-06-07 00:25:57+00:00,lama daerah banyak minat   tau beli knp   pasar kaya motor rata seluruh darrah,0
Ugzi3UqbwADnNK7xVal4AaABAg,MUSSEUM_sepatubranded,2023-05-13 07:31:08+00:00,si sri pihak rakyat memikirian asn kapan infonesia bubar,0
Ugy4FUTGAyKMfc0WOlJ4AaABAg,Mas ri,2023-05-13 10:18:04+00:00,banyak anggar subsidi   kurang jelas pertanggungjawaban tambah proyek subsidi masalah aman anggar subsidi pertanggungjawaban,1
Ugyy5QG7n7k1F_SGkHF4AaABAg,Ar'z 4.57,2023-06-06 14:02:05+00:00,produksi begitu mending genjot b b jelas bantu rakyat kecil   tani sawit harga sawit makin anjlok sampe sekarang,0
UgxLFP97QkKffmZAXwN4AaABAg,Dwie WwX,2023-06-08 19:18:13+00:00,harga mahal jelas,2
UgwFzD4aBrHDRfe2TEV4AaABAg,Agan Kennedy,2023-06-09 12:58:46+00:00,jujur sangat bahaya buat guna jalan kaki kadang mau belok hampir ktabrak karna kendara listik   suara,2
Ugz90TeSScQTjKeuYrh4AaABAg,Aji Ahmad,2023-06-06 16:48:27+00:00,  daerah   sih mau chas kadang   cas rumah   banyak   kuat daya,2
UgzzuEZwz49AhevxNqB4AaABAg,Farid Hifzy,2023-06-07 00:13:15+00:00,harga mahal stasiun isi sedikit baik sulit perlu teknisi khusus banyak banyak ngeluh rakyat sulit pindah ev lebih baik fokus infrastruktur dukung lebih sebar luas harga ngotak sesuai rakyat,2
Ugw57uOuP_CirgAGBE14AaABAg,rayfal Ibrahim syah,2023-06-14 04:45:58+00:00,gagal maning gagal maning,0
Ugwe_N3WNJNtF9bORnV4AaABAg,Dewantari herbal Channel,2022-12-18 13:13:28+00:00,orang beli arti orang mampu ngapain kasi subsidi harus jatah bawa motor lebih besar nilai,0
Ugy8zcW6zdKpiggI9yp4AaABAg,games,2023-06-07 05:07:55+00:00,lemah mahal kurang luas sempit tak pakai mudik lebaran boro boro ngecas lama jam mending isi bensin cuma   nyampe menit bayangin   mudik waktu lebaran hari raya isi bensin   ngantrinya lama minta ampun apa hari baru jatah isi kurang tenaga bawa tumpang ful banyak barang   berat tanjak ingat indonesia banyak daerah dikelilingin bukit bukit gunung gunung   tinggi resiko celaka lebih keri batre lithium rusak parah bakar bensin bensin   cela waktu tumpang bakar cari tolong cari air     bakar api kimia lithium trus tambah kaku setrum tempat gosong   nyebur air sungai danau dl lebih selamat bbm ketimbang mahal mahal   pas dimurahin speknya rang apa kabar wuling ni orang kaya milik usaha mikirin apa sih   mau cepat laku spek tinggi jual murah ini akibat pikir butuh konsumen buzernya bilang    orang  miskin   mampu beli mending diam   rakyat   ngarep mahal laku keras   paksa nafsulu masuk mulut  orang  mulut lebih fungsi ketimbang telinga akibat dengar butuh masyarakat jelas   laku mending jual barang bekas   bukan nengebantu hidup malah nyusahin hidup boro boro  orang  kaya beli dara lebih milih super kar suara kenalpotnya geber geber kendara nyetrum  orang  pasang speaker gede dengar knalpot iya   peduli perintah alih kendara tawar program kredit kendara ramah dompet awal rb jt kredit bulan jadi rb bulan rasa perlu perintah usaha mahal mahal sewa aktor pasang iklan bakal ludes laku semua itu perintah peduli lingkung bukan cari untung banyak cari untung tipis tipis   peduli lingkung moga dibales,0
UgwA-l5Kyt9Ifqrjnid4AaABAg,Arief P,2023-07-05 05:24:47+00:00,analisa masyarakat malas beli takut habis baterai jalan keluar kota banyak stasiun isi baterai masalah servicenya nunggu bulan bulan garansi bentuk bagus sangat mahal mending beli mercy bmw harga lebih murah sama bentuk mewah harga murah bentuk kecil aneh mending beli avanza xpander veloz harga lebih murah,0
UgxucW_JOOrHPFzdg694AaABAg,Rilsyah Syahruzad,2023-06-07 10:04:34+00:00,biar buat orang kaya karna bahkan bila guna bbm pindah moblis jamin pln kewalahan rumah tekor byar pet karna habis buat nge charge moblis tak sisa buat kulkas rice cooker ac kompor henti halusinasi ubah bbm moblis lebih,0
Ugy5v3KLXsdzPnyPewh4AaABAg,Agath PriKs,2023-03-15 07:40:03+00:00,yth   presiden usul   bagemana   kblb kendara motor bas baterai utama untu   jangan batas beli jangan batas laku masa beli sampun maturnuwun pareng,0
UgxCOYsMS0VsO7eqsG94AaABAg,MOMO Cell,2022-12-22 12:29:45+00:00,keluarin   harga lcgc   perlu sebut subsidi  sila  bisik perintah produsen kendara,1
Ugx-B5JhHRX_e8gcZMR4AaABAg,ᮊᮧᮙᮛᮥᮓᮤᮔ᮪,2023-06-22 10:58:52+00:00,bagaimana nasib kendara bahan bakar gas dulu gembor,0
Ugxp-3x0ug450GOAog14AaABAg,Mas Dadang Setyawan,2022-12-20 23:39:02+00:00,kendaran buat negeri,2
UgxJq_jPxq996FVtJ2x4AaABAg,VIKtoRY,2023-06-09 09:44:57+00:00,mau fokus kendara fokus dulu bangun tempat cas banyak titik contoh spbu rest area rumah makan dl,2
UgwqJd80le7w2WXarNd4AaABAg,Velnus,2023-06-23 07:22:18+00:00,bukan masyarakat mau ev cuma harga mahal banget,2
UgxeKdtX2B5rp2QzCfN4AaABAg,AutoPilotX,2023-07-05 03:00:15+00:00,cnbc semua kantor berita asing mau coba goyang indonesia bawa rakyat gerah  lihat  jokowi   atur kayak presiden belum jual kokain   kalian rakyat kalian kerja cia dulu as senjata tukar kokain era contras made in as nikaragua rakyat kalian zombi kensington pensylvania,0
Ugzf9GhucPQh02H7tMJ4AaABAg,orangesunset1986,2023-06-07 03:06:33+00:00,kasih ppn pkb gratis tol gratis parkir lama berapa tahun gt naik minat,2
Ugxvuc7uK0mAh5wLyWR4AaABAg,leni fita,2023-06-27 06:46:45+00:00,mimpi les nge charge   ber jam bbm polusi mana mngkin polusi hilang   mngkin laku keras deh tu ev mo murah  malas  beli mndingan beli bbm biasa,0
Ugy4ZOZx0ksX35ICCb54AaABAg,Arya Yuna,2023-06-08 09:02:58+00:00,buka tak laku tak cari buat dapur   makin susah motor   beli second   pribadi,0
Ugw2ivrWvaRZqbgfjo14AaABAg,MKT768,2023-06-07 02:39:31+00:00,  murah desain jelek tampil kunci,2
UgxUd45KMIfH2ujFfwN4AaABAg,The Rolling Wheelz,2023-03-15 04:37:11+00:00,hore indonesia tambah macet ayo dukung terus produsen,2
UgxB8Mr6kiKpT2UteHB4AaABAg,Eresha channel,2023-06-10 15:44:54+00:00,terlalu mahal,0
Ugyf5xo7oMf--kGdRf54AaABAg,29.madekazutaroputra Sanjaya,2023-06-08 01:19:27+00:00,jalan dulu   dibenerin trus bengkel khusus kendara   tau dimna isi lom rata nnti pas mudik habis ginna,0
UgzAT7dFgQtWcQBryI14AaABAg,Dj GEOL,2023-06-07 07:08:34+00:00,masyarakat   butuh pribadi baik transportasi   sedia  lebih  convenient hongkong singapore,1
UgwhvM0556XnIPGyccB4AaABAg,aryoo tidjo,2023-06-07 05:35:05+00:00,kelas tengah suka lebih irit ongkos lebih boros pke bensin,0
Ugz5GM_G-z9O1lObD4h4AaABAg,one,2023-03-10 05:58:01+00:00,they said u can increase my maind,1
Ugw7JJLTATjyh_VJR_V4AaABAg,Robi Indrawan,2022-12-20 07:09:05+00:00,dapet insentif pajak dimahalin   perintah,0
UgyeXZibZYDjMGk6pJ54AaABAg,Grapes,2023-06-06 23:51:52+00:00,mahal bentuk mungil jalan kota buat jarak jauh kek mana semua   tetap setia sama avanza xpander harga sesuai kantong beli calon beli,2
UgzqjsnqcRWbIacru8t4AaABAg,CHANG SINERGY,2023-03-07 05:44:12+00:00,betul subsidi jt   plat trus   mau pake plat bayar juta sama    ,2
Ugxo0qzhfwZZhujm4P14AaABAg,cocolodon_,2023-06-07 02:22:56+00:00,jala mulusin dlu desa sulit   buat wara wiri   jala rusak,2
UgwF8fMpY2rweNQ4GnB4AaABAg,Link Email,2023-06-07 19:27:31+00:00,masyarakat ekonomi tengah bawah mau beli kendara penuh pertamina seluruh indonesia sedia tempat isi daya kendara harga baterai motor gerak tempat biasa sebut dinamo jangkau murah,0
UgzYixu9AiMUsZNLyD94AaABAg,eryadi 12,2023-06-10 02:28:15+00:00,subsidi siapa energi sumber energi fosil sama bohong,0
UgzgFGO-yLCAn2NUNgt4AaABAg,Satria Pandu,2023-06-06 18:03:36+00:00,nyata subsidi orang kaya lebih banyak orang miskin,0
Ugxzn4SVapJULd9qKuV4AaABAg,Rasev Putra,2023-07-04 06:24:03+00:00,  laku masyarakat   ganggu produsen   mikir   ogah,0
UgziHwFIDelTgO0QuBF4AaABAg,Hufron Ron,2023-03-14 11:37:28+00:00,atur mbulet,1
UgxKAcLuAwZOQK6es-x4AaABAg,Lembur Kuring,2023-08-04 07:55:37+00:00,syarat   ngaco woy anak muda   blom punya rumah blom jd umkm bukan serta kur   dapet ngaco sia deui sia deui nu narima subsidi teh ari aing iraha,0
UgxMov5H_PPS03ohGnJ4AaABAg,si Tutum,2023-06-09 15:03:33+00:00,banyak   malah mesin hidrogen lawan berat ev,0
UgzKW5nJx0TkHPNhte14AaABAg,ARISWANDI,2023-06-07 01:39:50+00:00,akal akal baiden sama china sejak duduk persiden mi batasin lihat   trump naik bakal balik normal ev loyo,2
Ugx-0wRajvwbKBaLvO94AaABAg,hackmc,2023-06-07 01:10:54+00:00,mahal china   murah contoh air ev sini mahal padahal produksi sini kbanyakan ambil laba dealer ama sales ngebet   cepet bp,2
UgyWBTtLAF4HEiOG6A14AaABAg,Akbar Abba,2023-06-07 11:54:30+00:00,pribadi subsidi aneh,1
UgwhD-4MMA6HGYHFuCF4AaABAg,Dingin Berkarakter🇮🇩,2023-06-07 00:25:37+00:00,generasi lahir tahun pilih hidup modern ramah lingkung why genetik lahir zaman   banyak revolusi   jawa nikah ama sunda genetik mayoritas mirip sama ortu sekian banyak orang   punya anak rata rata mirip ortu cuma sedikit anak mirip ortu alami revolusi genetik genetik cantik luar biasa ganteng   tolong buat hidup lebih cocok tubuh   korea laku sekarang lingkung,0
Ugzkct13WopliM8a3a94AaABAg,deddy hermawan,2023-06-07 01:01:36+00:00,    minat masa pakai batrai rendah gitu tahun   turun forma tahn  tahun  pasti   siap ganti batrai ganti bensin  tahun  harga batrai harga bensin,2
UgzoUM_EEBGARTmYQ6V4AaABAg,Pew Pew,2023-06-07 11:13:54+00:00,spbu   tambah fasilitas buat charging   usa mikir lahan tinggal instalasi,0
UgztyfbzjIG_9oIM2wd4AaABAg,Dimas Reza Pamungkas,2023-06-07 12:49:46+00:00,cenderung paksa bgmn rakyat   pikir   alih kendara wong subsidi harga mahal jarak tempuh jauh bbm daya angkut batas biaya servis mahal msh blm banyak bengkel luar resmi   mampu servis blm pasang charger port sesuai daya rumah   dibwh jt   include pasang charger port mungkin masyarakat alih dg segera,2
Ugy9eRAnd50yU5RHLE14AaABAg,BIMA PANCA PANDAWA,2023-06-06 13:53:08+00:00,coba pikir positif udara  sekarang  penuh racun polusi  sekarang  sama sadar bahaya bencana sakit paru,0
Ugx8U5pOnZh7_DGYipt4AaABAg,joni irawan,2023-06-10 15:28:19+00:00,harus produksi kendara bahan bakar kurang benar minim produsi produsen kendara dorong alih kendara   genjot produksi mau mau konsumen alih kendara,0
UgwrWe-xAHvJ_O-ZSnd4AaABAg,unit Unit,2023-06-06 21:47:10+00:00,  cepat korupsi lambat tangan,0
Ugw91fALy2aaE3liEbB4AaABAg,ella,2023-06-12 04:49:19+00:00,lebih baik mikirin sarana transportasi umum jangkau jangkau sampe daerah tidack kurang macet mahal kurang fasilitas   maintenance   gimana yha perintah sibuk bangun tol   notabene     banyak banyak   lewat tol makin cuan   punya tol,0
