,teks,sentimen
1468,gila sedikit sama bohong,0
517,bukan semua orang tau baterai accu segala jenis baterai masalah kemudian hari sering soak usia lama telat cash btrai mampu tampung arus jadi cepat drop,0
852,laah mau transisi mahal spek gabisa lebih tanding apa edar sekarang kata manusia indo goblok kyk dulu buta informasi gausa deh cntoh kecil hp harga bawah jt milih hp orang hari nyari info segi spek n budget maksimal uang brg rasa pantas dapat pdahal cukup jam didapetin info aplg manusia indo rata fanatik avanza pas ngeliat cm tumpang gabutuh lihat spek gabutuh nyari informasi udh lgsung skip tengah atas dikit ngebandinginnya paling sama inova gabisa lebih fix skip ujung manusia indo paling maksimal alih,0
534,tuju subsidi ngelawak jangan nanggung,0
331,kecil harga langit sapa mau beli,2
256,lebih untung rumah pindah panel surya masyarakat minat,2
541,masa motor jual masyarakat umum kecil kecil semua motor muat orang gimana bawa anak gimana bawa barang jalan jauh desa soak jalan sepi duduk ambyar malam,0
1108,ngising anggota dewan sekarang bnyk usaha bnyk masuk usaha ev harga goreng terus subsidi buat siapa orang kaya msyarakt bawah boro mikirin kendara,0
964,pertama motor rusak susah baik rugi beli motor banyak bengkel tempat isi bahan bakar motor banyak oke,0
120,orang suruh gnti terus tasiun isi listrikny masuk jalur pantura blom mogok jalan mau colok mana colok idung,0
525,ekonomi sulit harga langit,2
52,mending turu punya malah iklan ampun gusti,2
672,tetap tarik motor sb kuno wagu sangat relevan lebih baik konvesional motor konvesional sb lebih nyata kekuatanya lebih baik produk jabat masyarakat indonesia tetap biasa usah neko klau minyak hbs pakek sepeda kuda sapi lebih simple hy milik moldoko sm luhut buat apa dukung,2
268,main anak cocok jarak pendek misal komplek kantor rumah pusat belanja lama lapang main golf batere bukan sumber energi energi batere habis isi pakai energi apa batubara bahan bakar minyak timbul carbon ganti bahanbakarnya,0
40,musim hujan banjir kek bahaya pake awat ribet ganti baterai mahal,0
82,sekarang bagus si perintah langkah lebih sedikit sedikit,0
714,inti benar tidah mudah rubah habit konsumen adlh hak konsumen rubah habit biasa konsumen bth jangka waktu ckp lama banyak faktor pengaruh trutama daya produk sendiri trmsk suku cadang pelihara dl hampir sangkut jamin produk sendiri untung rugi konsumen perlu juang panjang plin th mngkin lebih tx,0
524,cocok buat jalan indonesia naik curam turun curam nikung curam,2
892,mau laris tutup semua spbu misal jakarta jalan jakarta pake kendara bahan bakar minyak otomatis kendara laris manis,1
124,pake sama bahan baku batubara,0
385,harga mahal banget gimana mau beli,2
1014,ingin innova hr v fortuner,1
965,cocok indonesia banyak duduk tinggal gang sempit punya parkir sewa gimana mau ngechargenya,0
413,wakil ketua mti malah paksa hendak jalan bayar pecat orang rasa rakyat lebih golong doank mikirnya dagang laku nyuruh pindah mikir infrastuktur cepat charging kualitas barang tahan cuma malakin orang preman,0
6,mol keren yah berita plus padahal mol lokal merk batrenya juta garansi tahun anggap batre awet tahun rakyat indonesia per tahun sekali keluar juta buat beli batre baru o saran uang subsidi keluar buat batre perintah punya wewenang pertamina kelola contoh gas kg gas kg gas kg produk baru misal batre v batre v batre v cabut bayar pasang gas pnp pom sistem swap batre banyak titik swap point indonesia luas,0
128,cukai mahal ev mau pakai angkut umum aman banyak begal yuyu dara kaos bikin aman dulu jagan ngurus ribet dulu,0
1394,palembang rak bos,2
1242,subsidi anatara motor harus sama perintah adil kaya subsidi lebih besar adil,2
1061,mampu usah beli bos mampu siap beli kaum dang mending usah maksa,0
1142,evaluasi infrastruktur spklu sedia durasi charging bengkel khusus kendara banyak gitu pake ngundang moeldoko buat evaluasi,2
1235,gampang tinggal hapus subsidi bbm jual bakal langsung naik,2
15,tahan th,0
1152,gaji jt gimana mau beli,2
1507,harga murah harga batre muahal mafia komunis tiongkok timbun batre jauh hari jual harga mahal mungkin tiap tahun ganti batre mafia komunis tiongkok cuan rakyat derita,0
877,dulu pernah laku merknya tamiya,1
1243,apa kata anis bnrnya,0
51,iya jalan sering banget ketemu kendara jalan,2
1439,dlu tunggu masayarakat barang,0
476,maslahnya kalah saing sama bbm subsidi,0
112,paling mau minimal seater ukur compact suv harga jangkau jt,2
307,beneran mulai laku kok malah makin lihat ev kek gin mulai banyak jkt bandung sby ama yogya mulai jamur,2
250,guna kendara bahan bakar fosil larang otomatis kendara laku,0
511,banyak cerita minta subsidi apa untung konsumen beli muldok,0
640,gampang tiap brand kasih target jual capai kena pajak bina gitu,0
1311,langsung potong pikir t ngecasnya kurang takut mogok jalan,0
233,orang indonesia butuh daya angkut banyak bawa hasil kampung kijang stasiun cas banyak,0
543,baterai jual kayak gas bukan subsidi pajak bos,0
203,indonesia bos bahan bakar msih main terima kalah,0
194,subsidi tepat mnurut dapat lebih baik dipake pupuk subsidi solar nelayan,2
376,hybrid kunci,2
20,subsidi motor jalan umum tolak system,0
767,sini kek maenan semua tipe al around harga bangsat banget,0
1092,mau laku bebasin pajak kendara rp semua orang pindah kendara,0
1448,subsidi silang naik pajak beli kendara mesin bbm subsidi kendara,0
210,jt brio ev bnyk beli jt bentuk kaya karimun ogah,1
65,kendara kendara kota keluar kota mikir otomatis punya kendara tenang luar kota arti unit rumah ngk semua rakyat indonesia mampu beli unit harga murah mesin ken,0
1052,ev kendara masa depan butuh waktu jawab tuntas tanya butuh konsumen,0
1435,subsidi motor beda laku kait subsidi motor syarat haru va padahal ngecharge njeglek alas unuk usaha milik kur cuman tolak belakang subsidi benar laku,0
823,benar beli subsidi terlalu lama antri,0
409,larang jalan protokol thamrin sudirman e e motor,0
394,bukan laku harga mahal,2
641,ibarat ngasi saran ngasi solis lihat belah mata tempat charging mas susah pom bensin tempat charging mungkin bakal naik beli,0
355,bukan laku mobilitas batas tambah ngecas pake waktu beda sama bensin ngisi langsung gas,0
608,jelas mobel bbm bayak kalu kuragan mihkin ganti gitu jagn prodoksi inti y motor kuragin prodoksi inti y git,0
656,harga batre sangat mahal,2
797,wong rumah cuman beli boil apa jeplak meter subsidi subsidi kendara umum,1
477,pabrik bahan minyak terus produksi blm sedia segala perlu butuh sebut mudah jangan harap laku masyarakat,0
787,rakyat kecil siap siaga setor pajak sokong kalian orang kaya usaha jabat cinta,0
925,ngapain beli tempat charge bengkel tau jarak pim bensin jauh rebut sama pengetab mau pakai,0
234,judul jelas tengah begok rakyat mau narasumber moeldoko gaikindo jelas usaha moblisnya sendiri tanya rakyat sendiri,0
844,cuma syarat indonesia maju hukum mati koruptor,0
1170,banyak jual fb marketplace olx aplikasi bisnis jualbeli otomotif harga turun sedikit mungkin cocok masyarat guna alas kendala rakyat kismin boro boro punya motor lebihbaik naik angkot bis grab gojek keretalistrik rakyat tengah nama lika liku punya gunakn beli kredit maupun cash paksa jual ketidakcocokan rakyat tengah atas sorry bukan sombong biasa dulu udh lebihsuka mewah mercedesbenz bmw maupun sport mewah lamborghini ferrari biasa koleksi garasi maklum hobi otomotif banyak kurang minat mending beli bahanbakar lama pake tahun tahun bahkan jual,0
325,gaji juta umr paksa lesat teknologi alas kurang emisi gas buang padahal bensin solar dl bakal timbun sang kuasa jual pabrik pabrik rakyat paksa pake motor ntar pake malah naik harga nama miskin sadar,0
851,harga sama pilih lebih aman,2
754,ev praktis luar kota mau cas hotel apa mau,2
84,mending bensin hitung ama keluar mahal,0
711,kaum kadal gurun komenis otak sonsang rupa rupa,2
798,kendara masa depan laku kurang promosi tv indonesia,0
245,ken banget punya ev harga cocok,2
966,ngecas rumah nenek,2
718,mau gimana yuk ketawa yuk,2
579,paling tonjol takut orang beli tahu takut bagaimana atas cars batre habis tempat pencil tak isi daya solusi tawar unit bekal batre cadang guna jadi habis cars,0
97,orang butuh mirah,0
450,masalah finance karna finance rata punya brand japan,0
1493,biar beli tak pakek sendiri,0
523,kenal produk baru banyak tantang,1
1379,punya uang senyam senyum ganti nambah subsidi miskin makin singkir ganti kendara alas polusi dl udara bersih bikin mahal mungkin harga kendara utama trapotasi umum tenaga dg tiket murah semua rakyat rasa uang subsidi buat lebih utama banding buang bantu beli utama butuh masarakat umum mudah seluruh rakyat sejatera luar negri tahu butuh masya rakat umum utama beres baru tahap lai turut kasih subsidi alat alat tani mubil angkut inti mudah masarakat kecil utama utama tani kendara sifat pribadi mending angkut umum,0
397,lama video buat inti kendraan bensin lebih murah harga beli,2
871,laku pabrikan larang atur dunia mesin stop produksi baru alih,0
986,murah desain jelek tampil kunci,2
614,makanya percuma kasih subsidi harga mending duit subsidi buat ngebangun stasiun charging banyak banyak gratis dulu tarik minat masyarakat makin banyak stasiun charging makin murah masyarakat tarik lebih pilih kendara,2
1000,militer sendiri pake apa militer mau pake reliable andal waktu tank umum mau coba mana tank,2
44,teknologi baru developnya sempurna mesin bensin oke develop uda ratus tahun kuatir mirip hnphone pakai tahun batre kembung batre drop ev kerja sama ama rakkipanda viz oke sih,2
843,dululah indonesia ev hibrid dulu jangan beli ev motor ribet ngecharge,0
809,masyarakat sensi wuling cino,0
507,banyak faktor kendara kurang minat masyarakat punya kendara sejak paska covid landa masyarakat lebih fokus finansial ketimbang barang mewah aman selamat kendara tanya lebih edar beberapa video jadi kendara bakar sulit padam meski charge rumah masalah biaya tanggung,2
386,sila angkut umum pribadi apa beda sama sama menuhin jalan,1
547,motor bebek bagus irit bandel mudah sperpartnya buat kebun kadang jalan jauh motor otr harga bawah jt soal model aneh banyak bengkel modif kok peduli oiya karna kebun da charger usb pake karburator injeksi masalah apa kick starter bebek karna buat kebun lokasi gunung kadang buat angkut berat an kg lebih naik turun tanjak matic kayak leher cekik teriak sering as mesin kocak shock belakang belt ground clear pendek rawan pecah bawa berat butuh kendara harga murah banyak subsidi karna kontur jalan dl sila orang jakarta surabaya kota besar lai minat hubung dealer motor dekat gunung bukan orang babat hutan kebun jadi sawah sayur tebu lebih suka ternak kebun tanam tahun buah beraktifitas banyak satwa datang hibur sangat senang,0
710,subsidi pupuk pangkas subsidi pangkas subsidi bbm pangkas subsidi pupuk pangkas alasanya beban uang negara pas minta subsidi besar besar padahal subsidi pangkas rakyat subsidi kalang atas darisini paham mana wong cilik otak mana otak,0
897,indonesia mau bagus murah fitur banyak coba bikin jt an bawah laku keras,2
1283,mau rame kasih cicil th bunga,2
648,kasih motor racunin masyarakat sini,2
279,infrastruktur pada charging station daerah sedikit,0
1100,isi daya minim bengkel minim,0
1033,benar paling rakyat mau harga kendara msh sangat mahal pom pln sangat kurang sama spt jmlh byknya pom bensin,2
514,mending banyak transportasi publik,0
870,gratis laku kendara masalah mana gratis produksi pake batubara sama polusi ajar mixue sasar kendara daerah pinggir indonesia lalu buat fastcharge tiap beberapa kilometer mulai bangun bangkit ramah lingkung tiap desa paling isi daya motor gratis,2
391,puas laku,2
872,masyarakat bilang mau beli duit cukup buat butuh hari hari mimpi semua orang mampu beli sb nyata masyarakat hutang terus tambah lunas bikin keluarga derita solusi baik butuh masyarakat lapang kerja baik layak,0
752,kendara umum utama masyarakat mampu suruh beli penting didik anak generasi muda kuasa iptek,0
271,masuk tempat bakal cuma pajang ni soal insfratruktur buat,0
777,lihat tahun depan bagus fasilitas dukung arti hasil fasilitas dukung blm rata arti proyek tak hasil,2
400,bantu pajak kokuntuk menuhin jalan raya bikin macet kocag transportasi umum banyakin aduh ampun investor akal sehat ilang,0
1017,murah jg mau beli banyak bakar,2
1164,mau obral banding konvensional mahal ev,2
1371,naik pajak bbm,0
1360,insentif apa kasih produsen cuma pajek ntar revisi abis laris manis,0
1059,harga mahal stasiun isi sedikit baik sulit perlu teknisi khusus banyak banyak ngeluh rakyat sulit pindah ev lebih baik fokus infrastruktur dukung lebih sebar luas harga ngotak sesuai rakyat,2
1102,bentuk jelek mknya ngk minat coba klu model honda jaz vios civic dln bnyk minat,2
814,bukan laku produk baru perlu proses dukung infrastruktur proper aftersales andal yakin sang makan cabe pas gigit langsung asa pedas,2
863,insentif pajak buat apa harga awal jt indonesia jd jt situ waras mau nipu pakai sebut insentif pajak mau nipu rakyat,2
816,kerja kerja kerja kira rakyat banyaj duit,2
1175,bikin bijak kok cuma nguntungin orang kaya sama tiongkok beli orang kaya punya industri tiongkok pejabatanya bisnis asudah,2
1336,terlalu murah orang kaya mau harga triliun njing,2
1003,fundamental khawatir konsumen usaha perintah rubah regulasi tinggi biaya awat charging station banyak tiap wilayah lama waktu isi charging station isi bbm cukup menit ful tank,0
635,orang orang mending beli sepeda rental bocah jauh lebih untung,0
360,bukan mau daya beli kurang drastis tak uang bawah,0
104,lebih mndewakan motor manusia untung sua sepeda tiap kerja minggu wajib bike to work sekali berangkat p km desa kota total minggu tempuh km sepeda naik sepeda badan lemas ngantukan tempat kerja bike to work go green go cycling no global warning salam bike to work mnjalankanya,2
610,jalan dulu dibenerin trus bengkel khusus kendara tau dimna isi lom rata nnti pas mudik habis ginna,0
707,model jelek kecil,0
1048,kasi sama nih rezim apa ide laku kayak kereta cepat sekarang jelas mau naik siapa hahahah,0
836,narasumber pro solusi,2
440,gimana mau laku jual cuma buat orang elit beli kola tinggi orang elit butuh kendara jual a lambung,2
619,bengkak tu,0
1063,sarpras coba jabat aparatur perintah wajib guna dorong lebih cepat sarpras moda negara,0
542,lagi subsidi kok buat beli motor oke laah,0
693,subsidi mahal siapa mau beli imut muat kecil biaya awat besar sparepart mahal subsidi tetap mahal charging stationnya cuma pulau jawa daerah sulit,2
898,ingin masyarakat to bbm sembako murah bukan kendara banyak kyk mn macet total,0
646,masyarakat ekonomi tengah bawah mau beli kendara penuh pertamina seluruh indonesia sedia tempat isi daya kendara harga baterai motor gerak tempat biasa sebut dinamo jangkau murah,0
1062,nope tunggu warga pasti laku berapa bos bekas semua hitung dak bakal laku perintah nutup semua gerai pertamina,0
1224,harga murah laku,2
1106,ni gaca beli kendara bukan cuma mau jalan kota mal kantor kota beli kendara buat touring pulang kampung jalan jalan tempat jauh atus ratus kilo meter tambah konyol stasiun isi batreinya cuma spbu tentu tambah harga batreinya mahal bodoh sih bijak bodoh perintah kayak bukan buat sejahtera masyarakat buat gengsi gengsi perintah lihat hasil mata dunia terap energi ramah lingkung tu bijak bodoh terap hahaha lebih baik baikin dulu tu infrastruktur jalan hubung barang publik ni perlu jalan bagus lancar hambat murah bukan gimmick jual gacca harga langit servis batas,0
1251,kek mas harga sih serih sih lihat wuling padahal tempat desa,2
1111,mahal semua produk impor heran negara besar semua produk bida buat negeri pdhl pasar indonesia sangat besar sekali,2
131,goblok naek gunung fasilitas sarana tukar baterai ujung dorong fasilitas dulu bangun baru dorong alih banyak korupsi sih jabat konoha anjing cuih goblok,0
988,pikir aman tidak hujan banjir diibukota bray auto konslet servicesan murah,0
1119,rasa mueldoko bukan cari solusi mubil cari solusi kudeta partai,0
302,rakyat mau kerja gaji umr loker limpah ruah baru mampu beli jujur banyak sekali korban phk anggur,0
782,ora payu bro dagang,0
375,mana laris jual harga mahal sulit lapang kerja makan kurang kok beli,2
911,mahal model bagus hargany jt atas model biasa itu jt keats jg,0
760,gimana mau laku orang cuma jual eco friendly praktis muat kecil harga masuk akal cuma baterai harga x lipat harga pakai mesin rumit ribet pakai jual harga bawah jt baru laku wuling harga paling masuk akal mentok jt wuling,0
1145,nyata subsidi orang kaya lebih banyak orang miskin,0
1169,subsidi ngaco masuk kantong usaha ini negeri koruptor negeri surga cukong,0
