id_komentar,nama_akun,tanggal,text_cleaning,sentimen
UgyrKpO_VpK78yfAOgN4AaABAg,Sutris chanel,2023-03-20 23:35:54+00:00,motor batrai nyewa mungkin berat hitung lebih boros motor bensin banyak motor   jarang jalan,0
Ugy2UEbjpHAxHI1bdnl4AaABAg,Apca Ramdhan,2023-07-01 12:04:00+00:00,goblok   naek gunung fasilitas sarana tukar baterai   ujung dorong fasilitas dulu bangun baru dorong alih banyak korupsi sih jabat konoha anjing cuih goblok,0
Ugz8Wh3wCl3YyOGYktp4AaABAg,bony merakjayabeton,2023-06-21 05:01:02+00:00,masalah warga indo banyak     punya mampu beli kendara roda mikir orang   beli mending deh pikirin transportasi umum mudah hidup masyarakat,0
UgxjUmmlFFoGsKbbI3l4AaABAg,Muhammad Taufik Akbar,2023-06-07 10:48:35+00:00,      infrastruktur charger minim,0
Ugy37pvJ8qKzO-HoqBB4AaABAg,~tan.xin.jin88,2023-06-07 05:10:18+00:00,  milik pertama tiap milik gratis niscaya laris manis,2
UgzTxuI8tgbYX3xyNOd4AaABAg,mulkan mulkan,2023-03-07 11:33:45+00:00,apa pengaruh juta harga   juta,2
UgyOjA20wbTxZBSUphd4AaABAg,ngipi_ngolah pikir,2023-06-08 02:05:19+00:00,gampang to tinggal gx usah import bbm beres,0
UgyOqcgp6YzLL4eV3fN4AaABAg,Dymas Rp,2023-06-06 13:38:58+00:00,buat cina marak sih kualitas material payah,2
UgzrIme6uSs4MNMLKPF4AaABAg,Albert,2023-06-07 03:03:23+00:00,title berita tak laku at the same time tampil data jual tingkat,0
Ugx0b2ZluAH4WkqqG1F4AaABAg,passaku 7,2023-06-13 01:37:11+00:00,bukan   laku mobilitas batas tambah ngecas pake waktu beda sama bensin ngisi langsung gas,0
UgyNw5lEkzD6hE1v8Ax4AaABAg,Ryan Yhuan,2023-06-07 13:44:38+00:00,  harap harap sejahtera makan hari,1
UgznraF4ni4OYCPI42h4AaABAg,Jaynou Oliver Beck,2023-06-06 13:31:59+00:00,nunggu kabel charger type c,2
UgxLN4yCmAmo1Jw8u_t4AaABAg,Teguh Utomo,2023-06-07 22:39:15+00:00,jt umur  tahun  blm prnah punya tabung jt gaji sbln jt sih ,2
Ugx0iEppyuFyXBGyJSJ4AaABAg,Severinus Maha,2023-06-10 10:05:28+00:00,jga tetap dunia paksa terima nyata stop produksi bbm orang paksa bbm   produksi,0
UgzgkfS5H3hTzJEU8bB4AaABAg,Arif Kalulut,2023-06-07 02:38:55+00:00,  harga mahal cuba harga jt psti laku keras,2
UgxQ14At2qa6S_TyW2N4AaABAg,Kolik Kulik,2023-06-07 04:05:09+00:00,berita tendensius   imbang maluin media besar banding bensin lebih laku bensin alih liat growth antusiasme   tesla kelas atas minat batas gitu   masak   paham,0
UgymraUWUIVzC0ITJBx4AaABAg,Eko Ipah,2023-06-13 04:14:13+00:00,kendara terlalu mahal kalang duit   mampu beli,0
UgwV5f0zBhMro8H3LUB4AaABAg,jolio ahmad,2023-06-13 05:00:06+00:00,  tau produsen   rakyat konoha lebih  orang  miskin kaya artis jabat   beli rumah   nyicil abad boro boro bayar   sulit,0
UgyjTKKTMAoLuRJ-cYh4AaABAg,Nur Rohman,2023-06-26 11:48:47+00:00,subsidi tepat mnurut dapat lebih baik dipake   pupuk subsidi solar nelayan,2
UgxzqAepJwspvirHU6l4AaABAg,Robet rvb,2023-06-06 17:41:51+00:00,moeldoko adaalah milik usaha motor motor gesit wajar koar masyarakat pindah kendara pernah kritik perintah cepat kesah undang undang subsidi kendara produk beli perintah,0
UgxDYgMh3FOscyKh2-R4AaABAg,channel phone,2023-06-13 09:57:44+00:00,harga china jt sampe sini dibandrol jt subsidi jt konsumen jt harga china wuling miniev rpjt indonesia jt,2
UgwE4-s8ewLYd13gsB14AaABAg,Muhsin Fath,2023-06-11 07:58:14+00:00,bantu pajak kokuntuk menuhin jalan raya bikin macet kocag transportasi umum banyakin aduh ampun investor akal sehat ilang,0
UgxOqECwof8TjzZNbCp4AaABAg,Asni Muchtasar,2023-06-06 23:02:39+00:00,  mau laku bebasin pajak kendara rp semua orang pindah kendara,0
UgwxJ_5SRix_HGLgIwR4AaABAg,Joe R Lee,2023-06-07 17:16:26+00:00,alhamdulilah dulu kalah sama kendara bensin   lebih modern sejarah jg dulu selalu kalah,2
UgywYBoD3EZwkWpUtQN4AaABAg,Cloud Clone,2023-06-08 02:44:55+00:00,misal indonesia kasih bonus panel surya atas mungkin unggul panel surya kualitas indonesia musim,2
UgwljytkSFt_vfbo7n94AaABAg,Langkah Pasti,2023-06-07 22:50:22+00:00,inti teknologi coba coba makanya   laku coba coba harga mahal,2
UgxRq66-szcSa6rkEO94AaABAg,hu hu,2023-06-24 01:44:30+00:00,indonesia daerah banjir bahaya kendara motor cuci   bakar kemarin,0
UgxyO_-d7B06b9bG15x4AaABAg,vania,2023-06-14 01:02:34+00:00,lha beda apa ev jg bbm,0
UgwaG-xEzdg7XjYJLp94AaABAg,al faisal,2023-03-20 06:07:53+00:00,subsidi   kurang tepat  ,0
UgxPhwxuDT8hmxSDTdN4AaABAg,Ranap Wijaya,2023-06-07 07:06:18+00:00,sharusnya   bahan bakar minyak kurang banyak   lari tenaga,0
Ugyk0MpPOR9gp1EXS2x4AaABAg,arcel alindra,2023-06-06 17:06:09+00:00,moeldoko sama si luhut punya saham besar mati an ngebela jual jabat cuma penting diri pribadi,1
Ugy5Cc8BRPnXnxPENcR4AaABAg,Soe weton oi,2023-06-07 07:18:09+00:00,jalan umum masyarakt dibperbaiki lancat tak berlobag lagidi nkri,2
Ugz2YiYpwSHi5kcjkWR4AaABAg,Karso Indra Offesial.,2023-06-07 07:06:16+00:00,bisnis orang perintah coba klu buat bis adan angkut umum,2
UgycN9VgsU8g5oRO1jR4AaABAg,Nur,2023-03-18 20:17:58+00:00,subsidi  kok  kendara alangkah baik angarannya buat bangun pabrik pupuk tani susah sekarang tolong pikir nasip tani,2
UgwuyFTfOiDqA9h1Aq54AaABAg,enthen zhuo,2023-06-30 14:34:01+00:00,kota besar   macet pake ev daerah   jarang macet bisa ev harga mahal ev ev   jt sangat layak model paksa sangat layak keluar kota,0
Ugz0dD3Gjhd-Gp9Ppdl4AaABAg,Jefri jefri,2023-06-08 03:46:14+00:00,mahal dikit pilih charging station dikit indonesia apartemen   baik   deh penting,0
